;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 13-Jun-13 4:43:34 PM
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Lcd.c,91 :: 		
0x033C	0x003591B0  	LDS        R27, LCD_D4+0
0x0340	0x7EBF    	CBR        R27, 16
0x0342	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,93 :: 		
0x0346	0x003191B0  	LDS        R27, LCD_EN_Direction+0
0x034A	0x64B0    	SBR        R27, 64
0x034C	0x003193B0  	STS        LCD_EN_Direction+0, R27
;__Lib_Lcd.c,94 :: 		
0x0350	0x003191B0  	LDS        R27, LCD_RS_Direction+0
0x0354	0x61B0    	SBR        R27, 16
0x0356	0x003193B0  	STS        LCD_RS_Direction+0, R27
;__Lib_Lcd.c,95 :: 		
0x035A	0x003491B0  	LDS        R27, LCD_D4_Direction+0
0x035E	0x61B0    	SBR        R27, 16
0x0360	0x003493B0  	STS        LCD_D4_Direction+0, R27
;__Lib_Lcd.c,96 :: 		
0x0364	0x003491B0  	LDS        R27, LCD_D5_Direction+0
0x0368	0x62B0    	SBR        R27, 32
0x036A	0x003493B0  	STS        LCD_D5_Direction+0, R27
;__Lib_Lcd.c,97 :: 		
0x036E	0x003491B0  	LDS        R27, LCD_D6_Direction+0
0x0372	0x64B0    	SBR        R27, 64
0x0374	0x003493B0  	STS        LCD_D6_Direction+0, R27
;__Lib_Lcd.c,98 :: 		
0x0378	0x003491B0  	LDS        R27, LCD_D7_Direction+0
0x037C	0x68B0    	SBR        R27, 128
0x037E	0x003493B0  	STS        LCD_D7_Direction+0, R27
;__Lib_Lcd.c,100 :: 		
0x0382	0xDFB4    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,101 :: 		
0x0384	0xDFB3    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,102 :: 		
0x0386	0xDFB2    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,105 :: 		
0x0388	0x003591B0  	LDS        R27, LCD_D5+0
0x038C	0x62B0    	SBR        R27, 32
0x038E	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,106 :: 		
0x0392	0x003591B0  	LDS        R27, LCD_D4+0
0x0396	0x61B0    	SBR        R27, 16
0x0398	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,107 :: 		
0x039C	0x003291B0  	LDS        R27, LCD_EN+0
0x03A0	0x64B0    	SBR        R27, 64
0x03A2	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,108 :: 		
0x03A6	0xDF9D    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,109 :: 		
0x03A8	0x003291B0  	LDS        R27, LCD_EN+0
0x03AC	0x7BBF    	CBR        R27, 64
0x03AE	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,110 :: 		
0x03B2	0xDF9C    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,112 :: 		
0x03B4	0x003291B0  	LDS        R27, LCD_EN+0
0x03B8	0x64B0    	SBR        R27, 64
0x03BA	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,113 :: 		
0x03BE	0xDF91    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,114 :: 		
0x03C0	0x003291B0  	LDS        R27, LCD_EN+0
0x03C4	0x7BBF    	CBR        R27, 64
0x03C6	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,115 :: 		
0x03CA	0xDF90    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,117 :: 		
0x03CC	0x003291B0  	LDS        R27, LCD_EN+0
0x03D0	0x64B0    	SBR        R27, 64
0x03D2	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,118 :: 		
0x03D6	0xDF85    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,119 :: 		
0x03D8	0x003291B0  	LDS        R27, LCD_EN+0
0x03DC	0x7BBF    	CBR        R27, 64
0x03DE	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,120 :: 		
0x03E2	0xDF84    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,123 :: 		
0x03E4	0x003591B0  	LDS        R27, LCD_D4+0
0x03E8	0x7EBF    	CBR        R27, 16
0x03EA	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,124 :: 		
0x03EE	0x003291B0  	LDS        R27, LCD_EN+0
0x03F2	0x64B0    	SBR        R27, 64
0x03F4	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,125 :: 		
0x03F8	0xDF74    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,126 :: 		
0x03FA	0x003291B0  	LDS        R27, LCD_EN+0
0x03FE	0x7BBF    	CBR        R27, 64
0x0400	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,127 :: 		
0x0404	0xDF73    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,130 :: 		
0x0406	0x003291B0  	LDS        R27, LCD_EN+0
0x040A	0x64B0    	SBR        R27, 64
0x040C	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,131 :: 		
0x0410	0xDF68    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,132 :: 		
0x0412	0x003291B0  	LDS        R27, LCD_EN+0
0x0416	0x7BBF    	CBR        R27, 64
0x0418	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,134 :: 		
0x041C	0x003591B0  	LDS        R27, LCD_D5+0
0x0420	0x7DBF    	CBR        R27, 32
0x0422	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,135 :: 		
0x0426	0x003591B0  	LDS        R27, LCD_D7+0
0x042A	0x68B0    	SBR        R27, 128
0x042C	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,136 :: 		
0x0430	0x003291B0  	LDS        R27, LCD_EN+0
0x0434	0x64B0    	SBR        R27, 64
0x0436	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,137 :: 		
0x043A	0xDF53    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,138 :: 		
0x043C	0x003291B0  	LDS        R27, LCD_EN+0
0x0440	0x7BBF    	CBR        R27, 64
0x0442	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,139 :: 		
0x0446	0xDF52    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,142 :: 		
0x0448	0x003591B0  	LDS        R27, LCD_D7+0
0x044C	0x77BF    	CBR        R27, 128
0x044E	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,143 :: 		
0x0452	0x003591B0  	LDS        R27, LCD_D4+0
0x0456	0x61B0    	SBR        R27, 16
0x0458	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,144 :: 		
0x045C	0x003291B0  	LDS        R27, LCD_EN+0
0x0460	0x64B0    	SBR        R27, 64
0x0462	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,145 :: 		
0x0466	0xDF3D    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,146 :: 		
0x0468	0x003291B0  	LDS        R27, LCD_EN+0
0x046C	0x7BBF    	CBR        R27, 64
0x046E	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,148 :: 		
0x0472	0x003591B0  	LDS        R27, LCD_D4+0
0x0476	0x7EBF    	CBR        R27, 16
0x0478	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,149 :: 		
0x047C	0x003291B0  	LDS        R27, LCD_EN+0
0x0480	0x64B0    	SBR        R27, 64
0x0482	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,150 :: 		
0x0486	0xDF2D    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,151 :: 		
0x0488	0x003291B0  	LDS        R27, LCD_EN+0
0x048C	0x7BBF    	CBR        R27, 64
0x048E	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,152 :: 		
0x0492	0xDF2C    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,155 :: 		
0x0494	0x003291B0  	LDS        R27, LCD_EN+0
0x0498	0x64B0    	SBR        R27, 64
0x049A	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,156 :: 		
0x049E	0xDF21    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,157 :: 		
0x04A0	0x003291B0  	LDS        R27, LCD_EN+0
0x04A4	0x7BBF    	CBR        R27, 64
0x04A6	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,159 :: 		
0x04AA	0x003591B0  	LDS        R27, LCD_D4+0
0x04AE	0x61B0    	SBR        R27, 16
0x04B0	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,160 :: 		
0x04B4	0x003291B0  	LDS        R27, LCD_EN+0
0x04B8	0x64B0    	SBR        R27, 64
0x04BA	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,161 :: 		
0x04BE	0xDF11    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,162 :: 		
0x04C0	0x003291B0  	LDS        R27, LCD_EN+0
0x04C4	0x7BBF    	CBR        R27, 64
0x04C6	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,163 :: 		
0x04CA	0xDF10    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,166 :: 		
0x04CC	0x003591B0  	LDS        R27, LCD_D4+0
0x04D0	0x7EBF    	CBR        R27, 16
0x04D2	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,167 :: 		
0x04D6	0x003291B0  	LDS        R27, LCD_EN+0
0x04DA	0x64B0    	SBR        R27, 64
0x04DC	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,168 :: 		
0x04E0	0xDF00    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,169 :: 		
0x04E2	0x003291B0  	LDS        R27, LCD_EN+0
0x04E6	0x7BBF    	CBR        R27, 64
0x04E8	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,171 :: 		
0x04EC	0x003591B0  	LDS        R27, LCD_D7+0
0x04F0	0x68B0    	SBR        R27, 128
0x04F2	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,172 :: 		
0x04F6	0x003591B0  	LDS        R27, LCD_D6+0
0x04FA	0x64B0    	SBR        R27, 64
0x04FC	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,173 :: 		
0x0500	0x003591B0  	LDS        R27, LCD_D5+0
0x0504	0x62B0    	SBR        R27, 32
0x0506	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,174 :: 		
0x050A	0x003591B0  	LDS        R27, LCD_D4+0
0x050E	0x61B0    	SBR        R27, 16
0x0510	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,175 :: 		
0x0514	0x003291B0  	LDS        R27, LCD_EN+0
0x0518	0x64B0    	SBR        R27, 64
0x051A	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,176 :: 		
0x051E	0xDEE1    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,177 :: 		
0x0520	0x003291B0  	LDS        R27, LCD_EN+0
0x0524	0x7BBF    	CBR        R27, 64
0x0526	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,179 :: 		
0x052A	0xDEE0    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,181 :: 		
0x052C	0x015891B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0530	0x60B1    	SBR        R27, 1
0x0532	0x015893B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x0536	0x9508    	RET
; end of _Lcd_Init
_Delay_5500us:
;__Lib_Delays.c,30 :: 		void Delay_5500us() {
;__Lib_Delays.c,31 :: 		Delay_us(5500);
0x02EC	0xE713    	LDI        R17, 115
0x02EE	0xE408    	LDI        R16, 72
L_Delay_5500us12:
0x02F0	0x950A    	DEC        R16
0x02F2	0xF7F1    	BRNE       L_Delay_5500us12
0x02F4	0x951A    	DEC        R17
0x02F6	0xF7E1    	BRNE       L_Delay_5500us12
0x02F8	0x0000    	NOP
;__Lib_Delays.c,32 :: 		}
L_end_Delay_5500us:
0x02FA	0x9508    	RET
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,6 :: 		void Delay_1us() {
;__Lib_Delays.c,7 :: 		Delay_us(1);
0x02E2	0xE005    	LDI        R16, 5
L_Delay_1us0:
0x02E4	0x950A    	DEC        R16
0x02E6	0xF7F1    	BRNE       L_Delay_1us0
0x02E8	0x0000    	NOP
;__Lib_Delays.c,8 :: 		}
L_end_Delay_1us:
0x02EA	0x9508    	RET
; end of _Delay_1us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x0C8C	0xFA27    	BST        R2, 7
0x0C8E	0x003591B0  	LDS        R27, LCD_D7+0
0x0C92	0xF9B7    	BLD        R27, 7
0x0C94	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,21 :: 		
0x0C98	0xFA26    	BST        R2, 6
0x0C9A	0x003591B0  	LDS        R27, LCD_D6+0
0x0C9E	0xF9B6    	BLD        R27, 6
0x0CA0	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,22 :: 		
0x0CA4	0xFA25    	BST        R2, 5
0x0CA6	0x003591B0  	LDS        R27, LCD_D5+0
0x0CAA	0xF9B5    	BLD        R27, 5
0x0CAC	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,23 :: 		
0x0CB0	0xFA24    	BST        R2, 4
0x0CB2	0x003591B0  	LDS        R27, LCD_D4+0
0x0CB6	0xF9B4    	BLD        R27, 4
0x0CB8	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,25 :: 		
0x0CBC	0x015891B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0CC0	0x00329000  	LDS        R0, LCD_RS+0
0x0CC4	0x94E8    	CLT
0x0CC6	0xFFB0    	SBRS       R27, 0
0x0CC8	0x9468    	SET
0x0CCA	0xF804    	BLD        R0, 4
0x0CCC	0x00329200  	STS        LCD_RS+0, R0
;__Lib_Lcd.c,28 :: 		
0x0CD0	0x003291B0  	LDS        R27, LCD_EN+0
0x0CD4	0x64B0    	SBR        R27, 64
0x0CD6	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,29 :: 		
0x0CDA	0xDB03    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,30 :: 		
0x0CDC	0x003291B0  	LDS        R27, LCD_EN+0
0x0CE0	0x7BBF    	CBR        R27, 64
0x0CE2	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,33 :: 		
0x0CE6	0xFA23    	BST        R2, 3
0x0CE8	0x003591B0  	LDS        R27, LCD_D7+0
0x0CEC	0xF9B7    	BLD        R27, 7
0x0CEE	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,34 :: 		
0x0CF2	0xFA22    	BST        R2, 2
0x0CF4	0x003591B0  	LDS        R27, LCD_D6+0
0x0CF8	0xF9B6    	BLD        R27, 6
0x0CFA	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,35 :: 		
0x0CFE	0xFA21    	BST        R2, 1
0x0D00	0x003591B0  	LDS        R27, LCD_D5+0
0x0D04	0xF9B5    	BLD        R27, 5
0x0D06	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,36 :: 		
0x0D0A	0xFA20    	BST        R2, 0
0x0D0C	0x003591B0  	LDS        R27, LCD_D4+0
0x0D10	0xF9B4    	BLD        R27, 4
0x0D12	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,38 :: 		
0x0D16	0x015891B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0D1A	0x00329000  	LDS        R0, LCD_RS+0
0x0D1E	0x94E8    	CLT
0x0D20	0xFFB0    	SBRS       R27, 0
0x0D22	0x9468    	SET
0x0D24	0xF804    	BLD        R0, 4
0x0D26	0x00329200  	STS        LCD_RS+0, R0
;__Lib_Lcd.c,40 :: 		
0x0D2A	0x003291B0  	LDS        R27, LCD_EN+0
0x0D2E	0x64B0    	SBR        R27, 64
0x0D30	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,41 :: 		
0x0D34	0xDAD6    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,42 :: 		
0x0D36	0x003291B0  	LDS        R27, LCD_EN+0
0x0D3A	0x7BBF    	CBR        R27, 64
0x0D3C	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,44 :: 		
0x0D40	0x015891B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0D44	0xFFB0    	SBRS       R27, 0
0x0D46	0xC002    	RJMP       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x0D48	0xDAD1    	RCALL      _Delay_5500us+0
